,endpoint,message,data
44,Historical Options,success,"{'contractID': 'IBM101218C00140000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '140.00', 'type': 'call', 'last': '5.30', 'mark': '5.35', 'bid': '5.30', 'bid_size': '16', 'ask': '5.40', 'ask_size': '159', 'volume': '105', 'open_interest': '2467', 'date': '2010-11-15', 'implied_volatility': '0.18736', 'delta': '0.68693', 'gamma': '0.04378', 'theta': '-0.16052', 'vega': '0.15302', 'rho': '0.08437'}"
45,Historical Options,success,"{'contractID': 'IBM101218P00140000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '140.00', 'type': 'put', 'last': '1.66', 'mark': '1.67', 'bid': '1.65', 'bid_size': '11', 'ask': '1.68', 'ask_size': '14', 'volume': '284', 'open_interest': '4477', 'date': '2010-11-15', 'implied_volatility': '0.18644', 'delta': '-0.31232', 'gamma': '0.04395', 'theta': '-0.15664', 'vega': '0.15287', 'rho': '-0.04207'}"
46,Historical Options,success,"{'contractID': 'IBM101218C00145000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '145.00', 'type': 'call', 'last': '2.31', 'mark': '2.33', 'bid': '2.31', 'bid_size': '11', 'ask': '2.35', 'ask_size': '11', 'volume': '638', 'open_interest': '6581', 'date': '2010-11-15', 'implied_volatility': '0.17029', 'delta': '0.43851', 'gamma': '0.05360', 'theta': '-0.16161', 'vega': '0.17025', 'rho': '0.05484'}"
47,Historical Options,success,"{'contractID': 'IBM101218P00145000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '145.00', 'type': 'put', 'last': '3.50', 'mark': '3.65', 'bid': '3.60', 'bid_size': '92', 'ask': '3.70', 'ask_size': '180', 'volume': '271', 'open_interest': '4272', 'date': '2010-11-15', 'implied_volatility': '0.16968', 'delta': '-0.56178', 'gamma': '0.05378', 'theta': '-0.15797', 'vega': '0.17023', 'rho': '-0.07626'}"
48,Historical Options,success,"{'contractID': 'IBM101218C00150000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '150.00', 'type': 'call', 'last': '0.79', 'mark': '0.76', 'bid': '0.74', 'bid_size': '27', 'ask': '0.77', 'ask_size': '27', 'volume': '1553', 'open_interest': '8335', 'date': '2010-11-15', 'implied_volatility': '0.16388', 'delta': '0.19746', 'gamma': '0.03925', 'theta': '-0.10933', 'vega': '0.11999', 'rho': '0.02496'}"
49,Historical Options,success,"{'contractID': 'IBM101218P00150000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '150.00', 'type': 'put', 'last': '6.95', 'mark': '7.08', 'bid': '7.00', 'bid_size': '293', 'ask': '7.15', 'ask_size': '52', 'volume': '23', 'open_interest': '362', 'date': '2010-11-15', 'implied_volatility': '0.16297', 'delta': '-0.80394', 'gamma': '0.03930', 'theta': '-0.10510', 'vega': '0.11947', 'rho': '-0.11081'}"
50,Historical Options,success,"{'contractID': 'IBM101218C00155000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '155.00', 'type': 'call', 'last': '0.24', 'mark': '0.22', 'bid': '0.20', 'bid_size': '51', 'ask': '0.23', 'ask_size': '102', 'volume': '156', 'open_interest': '3024', 'date': '2010-11-15', 'implied_volatility': '0.16815', 'delta': '0.06992', 'gamma': '0.01847', 'theta': '-0.05409', 'vega': '0.05794', 'rho': '0.00888'}"
51,Historical Options,success,"{'contractID': 'IBM101218P00155000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '155.00', 'type': 'put', 'last': '5.83', 'mark': '11.27', 'bid': '10.95', 'bid_size': '347', 'ask': '11.60', 'ask_size': '36', 'volume': '0', 'open_interest': '292', 'date': '2010-11-15', 'implied_volatility': '0.03733', 'delta': '-1.00000', 'gamma': '0.00000', 'theta': '0.00325', 'vega': '0.00000', 'rho': '-0.14011'}"
52,Historical Options,success,"{'contractID': 'IBM101218C00160000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '160.00', 'type': 'call', 'last': '0.09', 'mark': '0.07', 'bid': '0.06', 'bid_size': '35', 'ask': '0.08', 'ask_size': '1', 'volume': '15', 'open_interest': '997', 'date': '2010-11-15', 'implied_volatility': '0.17928', 'delta': '0.02439', 'gamma': '0.00739', 'theta': '-0.02459', 'vega': '0.02473', 'rho': '0.00310'}"
53,Historical Options,success,"{'contractID': 'IBM101218P00160000', 'symbol': 'IBM', 'expiration': '2010-12-18', 'strike': '160.00', 'type': 'put', 'last': '7.60', 'mark': '16.32', 'bid': '16.20', 'bid_size': '257', 'ask': '16.45', 'ask_size': '16', 'volume': '0', 'open_interest': '108', 'date': '2010-11-15', 'implied_volatility': '0.05377', 'delta': '-1.00000', 'gamma': '0.00000', 'theta': '0.00336', 'vega': '0.00000', 'rho': '-0.14463'}"
