,stock_symbol,timestamp,close,volume,ma_5,ma_10,ma_50,daily_return,intraday_volatility,prev_day_close,prev_day_return,price_diff,target
1844,IBM,2007-03-06 00:00:00+05:00,93.8,9184200,,,,,,93.8,,0.0,0
1845,IBM,2007-03-07 00:00:00+05:00,93.94,10269100,,,,,,93.94,,0.0,0
1846,IBM,2007-03-08 00:00:00+05:00,93.0,7403900,,,,,,93.0,,0.0,0
1847,IBM,2007-03-09 00:00:00+05:00,93.28,6333000,,,,,,93.28,,0.0,0
1848,IBM,2007-03-12 00:00:00+05:00,94.11,5531300,,,,,,94.11,,0.0,0
1849,IBM,2007-03-13 00:00:00+05:00,92.71,7539100,,,,,,92.71,,0.0,0
1850,IBM,2007-03-14 00:00:00+05:00,93.76,8713900,,,,,,93.76,,0.0,0
1851,IBM,2007-03-15 00:00:00+05:00,93.45,5910000,,,,,,93.45,,0.0,0
1852,IBM,2007-03-16 00:00:00+05:00,93.25,8728700,,,,,,93.25,,0.0,0
1853,IBM,2007-03-19 00:00:00+05:00,93.99,4568100,,,,,,93.99,,0.0,0
1854,IBM,2007-03-20 00:00:00+05:00,94.5,4560000,,,,,,94.5,,0.0,0
1855,IBM,2007-03-21 00:00:00+05:00,95.36,7665600,,,,,,95.36,,0.0,0
1856,IBM,2007-03-22 00:00:00+05:00,95.19,5700400,,,,,,95.19,,0.0,0
1857,IBM,2007-03-23 00:00:00+05:00,95.03,4412500,,,,,,95.03,,0.0,0
1858,IBM,2007-03-26 00:00:00+05:00,95.0,6729400,,,,,,95.0,,0.0,0
1859,IBM,2007-03-27 00:00:00+05:00,94.73,4695800,,,,,,94.73,,0.0,0
1860,IBM,2007-03-28 00:00:00+05:00,94.26,8128000,,,,,,94.26,,0.0,0
1861,IBM,2007-03-29 00:00:00+05:00,94.57,6851500,,,,,,94.57,,0.0,0
1862,IBM,2007-03-30 00:00:00+05:00,94.26,7638100,,,,,,94.26,,0.0,0
1863,IBM,2007-04-02 00:00:00+05:00,95.21,5883700,,,,,,95.21,,0.0,0
1864,IBM,2007-04-03 00:00:00+05:00,96.1,5730800,,,,,,96.1,,0.0,0
1865,IBM,2007-04-04 00:00:00+05:00,96.21,4276200,,,,,,96.21,,0.0,0
1866,IBM,2007-04-05 00:00:00+05:00,96.52,3307100,,,,,,96.52,,0.0,0
1867,IBM,2007-04-09 00:00:00+05:00,96.62,4850600,,,,,,96.62,,0.0,0
1868,IBM,2007-04-10 00:00:00+05:00,96.46,3596400,,,,,,96.46,,0.0,0
1869,IBM,2007-04-11 00:00:00+05:00,95.16,5936900,,,,,,95.16,,0.0,0
1870,IBM,2007-04-12 00:00:00+05:00,95.67,7085300,,,,,,95.67,,0.0,0
1871,IBM,2007-04-13 00:00:00+05:00,94.93,6027800,,,,,,94.93,,0.0,0
1872,IBM,2007-04-16 00:00:00+05:00,96.18,6865100,,,,,,96.18,,0.0,0
1873,IBM,2007-04-17 00:00:00+05:00,97.12,10264000,,,,,,97.12,,0.0,0
1874,IBM,2007-04-18 00:00:00+05:00,94.8,15871700,,,,,,94.8,,0.0,0
1875,IBM,2007-04-19 00:00:00+05:00,94.29,9445600,,,,,,94.29,,0.0,0
1876,IBM,2007-04-20 00:00:00+05:00,94.58,9340300,,,,,,94.58,,0.0,0
1877,IBM,2007-04-23 00:00:00+05:00,95.21,7247400,,,,,,95.21,,0.0,0
1878,IBM,2007-04-24 00:00:00+05:00,98.49,21450700,,,,,,98.49,,0.0,0
1879,IBM,2007-04-25 00:00:00+05:00,101.46,14827300,,,,,,101.46,,0.0,0
1880,IBM,2007-04-26 00:00:00+05:00,100.9,8608500,,,,,,100.9,,0.0,0
1881,IBM,2007-04-27 00:00:00+05:00,101.17,6141400,,,,,,101.17,,0.0,0
1882,IBM,2007-04-30 00:00:00+05:00,102.21,10050400,,,,,,102.21,,0.0,0
1883,IBM,2007-05-01 00:00:00+05:00,103.17,8670100,,,,,,103.17,,0.0,0
1884,IBM,2007-05-02 00:00:00+05:00,102.22,6820300,,,,,,102.22,,0.0,0
1885,IBM,2007-05-03 00:00:00+05:00,102.8,7302200,,,,,,102.8,,0.0,0
1886,IBM,2007-05-04 00:00:00+05:00,102.96,5464800,,,,,,102.96,,0.0,0
1887,IBM,2007-05-07 00:00:00+05:00,102.76,5620100,,,,,,102.76,,0.0,0
1888,IBM,2007-05-08 00:00:00+05:00,103.29,5965000,,,,,,103.29,,0.0,0
1889,IBM,2007-05-09 00:00:00+05:00,104.38,8408100,,,,,,104.38,,0.0,0
1890,IBM,2007-05-10 00:00:00+05:00,104.68,8959800,,,,,,104.68,,0.0,0
1891,IBM,2007-05-11 00:00:00+05:00,105.98,6026100,,,,,,105.98,,0.0,0
1892,IBM,2007-05-14 00:00:00+05:00,105.57,5732600,,,,,,105.57,,0.0,0
1893,IBM,2007-05-15 00:00:00+05:00,104.83,6104200,,,,,,104.83,,0.0,0
1894,IBM,2007-05-16 00:00:00+05:00,105.87,5613500,,,,,,105.87,,0.0,0
1895,IBM,2007-05-17 00:00:00+05:00,105.31,7706400,,,,,,105.31,,0.0,0
1896,IBM,2007-05-18 00:00:00+05:00,107.99,9857500,,,,,,107.99,,0.0,0
1897,IBM,2007-05-21 00:00:00+05:00,107.04,7512200,,,,,,107.04,,0.0,0
1898,IBM,2007-05-22 00:00:00+05:00,106.7,5313300,,,,,,106.7,,0.0,0
1899,IBM,2007-05-23 00:00:00+05:00,105.58,4396900,,,,,,105.58,,0.0,0
1900,IBM,2007-05-24 00:00:00+05:00,103.95,6926300,,,,,,103.95,,0.0,0
1901,IBM,2007-05-25 00:00:00+05:00,105.18,6123000,,,,,,105.18,,0.0,0
1902,IBM,2007-05-29 00:00:00+05:00,105.91,5420300,,,,,,105.91,,0.0,0
1903,IBM,2007-05-30 00:00:00+05:00,106.93,7401000,,,,,,106.93,,0.0,0
1904,IBM,2007-05-31 00:00:00+05:00,106.6,5097700,,,,,,106.6,,0.0,0
1905,IBM,2007-06-01 00:00:00+05:00,106.54,5289200,,,,,,106.54,,0.0,0
1906,IBM,2007-06-04 00:00:00+05:00,106.23,4569900,,,,,,106.23,,0.0,0
1907,IBM,2007-06-05 00:00:00+05:00,105.84,5244200,,,,,,105.84,,0.0,0
1908,IBM,2007-06-06 00:00:00+05:00,102.41,30770700,,,,,,102.41,,0.0,0
1909,IBM,2007-06-07 00:00:00+05:00,101.8,14384600,,,,,,101.8,,0.0,0
1910,IBM,2007-06-08 00:00:00+05:00,103.07,8216300,,,,,,103.07,,0.0,0
1911,IBM,2007-06-11 00:00:00+05:00,103.22,7903100,,,,,,103.22,,0.0,0
1912,IBM,2007-06-12 00:00:00+05:00,102.34,5578400,,,,,,102.34,,0.0,0
1913,IBM,2007-06-13 00:00:00+05:00,103.12,6437600,,,,,,103.12,,0.0,0
1914,IBM,2007-06-14 00:00:00+05:00,103.85,5165600,,,,,,103.85,,0.0,0
1915,IBM,2007-06-15 00:00:00+05:00,105.09,9432300,,,,,,105.09,,0.0,0
1916,IBM,2007-06-18 00:00:00+05:00,105.33,6359200,,,,,,105.33,,0.0,0
1917,IBM,2007-06-19 00:00:00+05:00,106.5,5754000,,,,,,106.5,,0.0,0
1918,IBM,2007-06-20 00:00:00+05:00,106.0,6541500,,,,,,106.0,,0.0,0
1919,IBM,2007-06-21 00:00:00+05:00,106.6,5587800,,,,,,106.6,,0.0,0
1920,IBM,2007-06-22 00:00:00+05:00,104.44,10808500,,,,,,104.44,,0.0,0
1921,IBM,2007-06-25 00:00:00+05:00,105.1,8476400,,,,,,105.1,,0.0,0
1922,IBM,2007-06-26 00:00:00+05:00,105.33,5229600,,,,,,105.33,,0.0,0
